Expierement,testSetSize,Classifier,CorrectlyClassifed%,IncorrectlyClassified%,TP,FP,FN,TN,Precision,Recall,Accuracy
1,22544,DT, 81.5339 ,18.4661,8933,3900,263,9448,0.696096002493571,0.971400608960418,0.815338892831796
1,22544,NB, 76.1178 ,23.8822,8119,4714,670,9041,0.632665783526845,0.923768346797133,0.761178140525195
1,22544,RF, 80.4516 ,19.5484,8690,4143,264,9447,0.677160445725863,0.970515970515971,0.804515613910575
1,22544,KNN, 79.3559 ,20.6441,8548,4285,369,9342,0.666095223252552,0.958618369406751,0.793559261887864
1,22544,NN, 74.7738 ,25.2262,7835,4998,689,9022,0.610535338580223,0.919169404035664,0.747737757274663
2,22544,DT, 79.3426 ,20.6574,8933,3900,729,8982,0.696096002493571,0.924549782653695,0.794668204400284
2,22544,NB, 57.9888 ,42.0112,7307,5526,266,9445,0.569391412763968,0.964875214578106,0.743080198722498
2,22544,RF, 75.21 ,24.7915,7705,5128,285,9426,0.600405205330009,0.96433041301627,0.759891767210788
2,22544,KNN, 77.7014 ,22.2986,8671,4162,292,9419,0.675679887789293,0.967421622224702,0.802430801987225
2,22544,NN, 75.2262 ,24.7738,8097,4736,732,8979,0.630951453284501,0.917091403329935,0.757452093683463
3,22544,DT, 74.6052 ,25.3948,8976,3857,729,8982,0.699446738876335,0.924884080370943,0.796575585521647
3,22544,NB, 75.5500 ,24.4500,7316,5517,267,9444,0.57009272968129,0.964789661084004,0.743435060326473
3,22544,RF, 73.0438 ,26.9562,7656,5177,291,9420,0.596586924335697,0.963382408456021,0.757452093683463
3,22544,KNN, 77.9720 ,22.0280,8690,4143,289,9422,0.677160445725863,0.967813787726918,0.803406671398155
3,22544,NN, 78.2692 ,21.7308,7774,5059,723,8988,0.605781968362815,0.914911145110039,0.743523775727466
4,22544,DT, 76.1577 ,23.8423,7788,5045,330,9381,0.606872905789761,0.959349593495935,0.761577359829667
4,22544,NB, 58.8361 ,41.1639,3633,9200,80,9631,0.283098262292527,0.978454080258551,0.588360539389638
4,22544,RF, 79.3825 ,20.6175,8544,4289,359,9352,0.665783526844853,0.959676513534764,0.793825408090845
4,22544,KNN, 82.5763 ,17.4237,9264,3569,359,9352,0.721888880230655,0.962693546711005,0.825762952448545
4,22544,NN, 73.4209 ,26.5791,6888,5945,47,9644,0.536741214057508,0.993222782984859,0.733972651394069
5,22544,DT, 81.5339 ,18.4661,8933,3900,263,9448,0.696096002493571,0.971400608960418,0.815338892831796
5,22544,NB, 76.1178 ,23.8822,8119,4714,670,9041,0.632665783526845,0.923768346797133,0.761178140525195
5,22544,RF, 80.1233 ,19.8767,8623,4210,271,9440,0.671939530896906,0.969530020238363,0.801233144073811
5,22544,KNN, 79.3559 ,20.6441,8548,4285,369,9342,0.666095223252552,0.958618369406751,0.793559261887864
5,22544,NN, 74.7427 ,25.2573,7829,5004,690,9021,0.610067793968675,0.919004578002113,0.747427253371185
6,22544,DT, 78.6551 ,21.3449,8553,4280,532,9179,0.666484843762176,0.941441937259219,0.786550745209368
6,22544,NB, 73.6427 ,26.3573,7172,5661,281,9430,0.55887165900413,0.962297061585939,0.736426543647977
6,22544,RF, 77.6969 ,22.3031,8338,4495,533,9178,0.64973116184836,0.93991658212152,0.776969481902058
6,22544,KNN, 78.1317 ,21.8683,8436,4397,533,9178,0.657367723836983,0.940573085070799,0.781316536550745
6,22544,NN, 76.6457 ,23.3543,8108,4725,540,9171,0.631808618405673,0.937557816836263,0.766456706884315
7,22544,DT, 79.4668 ,20.5332,8933,3900,729,8982,0.696096002493571,0.924549782653695,0.794668204400284
7,22544,NB, 74.3080 ,25.6920,7307,5526,266,9445,0.569391412763968,0.964875214578106,0.743080198722498
7,22544,RF, 76.4505 ,23.5495,7815,5018,291,9420,0.608976856541728,0.964100666173205,0.764504968062456
7,22544,KNN, 80.2431 ,19.7569,8671,4162,292,9419,0.675679887789293,0.967421622224702,0.802430801987225
7,22544,NN, 74.9424 ,25.0576,7907,4926,723,8988,0.616145873918803,0.9162224797219,0.749423349893542
8,22544,DT, 78.6595 ,21.3405,8554,4279,532,9179,0.6665627678641,0.941448382126348,0.786595102909865
8,22544,NB, 73.6338 ,26.3662,7160,5673,271,9440,0.557936569781033,0.963531153276813,0.736337828246984
8,22544,RF, 77.7413 ,22.2587,8349,4484,534,9177,0.650588326969532,0.939885173927727,0.777413058907026
8,22544,KNN, 78.4821 ,21.5179,8516,4317,534,9177,0.663601651990961,0.940994475138122,0.784820794889993
8,22544,NN, 76.6767 ,23.3233,8116,4717,541,9170,0.632432011221071,0.937507219591082,0.766767210787793
9,22544,DT, 79.6576 ,20.3424,8976,3857,729,8982,0.699446738876335,0.924884080370943,0.796575585521647
9,22544,NB, 74.3435 ,25.6565,7316,5517,267,9444,0.57009272968129,0.964789661084004,0.743435060326473
9,22544,RF, 75.8517 ,24.1483,7684,5149,295,9416,0.598768799189589,0.963027948364457,0.758516678495387
9,22544,KNN, 80.3407 ,19.6593,8690,4143,289,9422,0.677160445725863,0.967813787726918,0.803406671398155
9,22544,NN, 74.8270 ,25.1730,7880,4953,722,8989,0.614041923166836,0.916066031155545,0.748270049680625
